wl;UV_control;Dor_paint;UV_paint;Dor_control
445,54;42,446;5,586;11,384;10,124
445,9;42,346;5,585;11,404;10,145
446,25;42,248;5,587;11,43;10,167
446,6;42,163;5,601;11,446;10,188
446,95;42,078;5,601;11,457;10,213
447,31;41,978;5,6;11,476;10,236
447,66;41,876;5,593;11,496;10,251
448,01;41,785;5,603;11,501;10,287
448,37;41,717;5,623;11,522;10,32
448,72;41,643;5,636;11,533;10,368
449,07;41,581;5,638;11,546;10,407
449,43;41,54;5,641;11,561;10,442
449,78;41,511;5,654;11,584;10,483
450,13;41,48;5,654;11,622;10,513
450,49;41,457;5,663;11,643;10,537
450,84;41,409;5,672;11,666;10,565
451,19;41,355;5,672;11,685;10,583
451,54;41,275;5,682;11,696;10,591
451,9;41,206;5,666;11,715;10,591
452,25;41,146;5,663;11,727;10,597
452,6;41,047;5,669;11,749;10,613
452,95;40,953;5,673;11,771;10,607
453,31;40,866;5,673;11,799;10,602
453,66;40,755;5,661;11,823;10,598
454,01;40,641;5,669;11,851;10,585
454,36;40,519;5,678;11,87;10,57
454,72;40,377;5,697;11,898;10,543
455,07;40,269;5,723;11,921;10,528
455,42;40,121;5,743;11,963;10,51
455,77;39,977;5,731;11,979;10,513
456,13;39,875;5,741;12,006;10,523
456,48;39,818;5,744;12,025;10,536
456,83;39,8;5,759;12,031;10,558
457,18;39,795;5,755;12,041;10,567
457,54;39,8;5,745;12,036;10,567
457,89;39,84;5,758;12,047;10,589
458,24;39,865;5,771;12,068;10,593
458,59;39,905;5,775;12,074;10,599
458,94;39,937;5,775;12,087;10,617
459,3;39,952;5,779;12,095;10,626
459,65;39,99;5,787;12,114;10,639
460;40,011;5,792;12,131;10,641
460,35;40,028;5,8;12,14;10,644
460,7;40,065;5,822;12,143;10,653
461,06;40,099;5,837;12,15;10,666
461,41;40,15;5,84;12,151;10,681
461,76;40,245;5,839;12,172;10,709
462,11;40,399;5,845;12,169;10,75
462,46;40,532;5,856;12,181;10,803
462,81;40,728;5,846;12,18;10,851
463,17;40,951;5,869;12,212;10,894
463,52;41,156;5,883;12,227;10,921
463,87;41,322;5,89;12,253;10,947
464,22;41,437;5,899;12,273;10,95
464,57;41,516;5,911;12,307;10,956
464,92;41,561;5,936;12,342;10,975
465,28;41,568;5,934;12,365;10,972
465,63;41,59;5,942;12,376;10,98
465,98;41,577;5,948;12,391;10,997
466,33;41,583;5,961;12,411;10,979
466,68;41,606;5,986;12,437;10,977
467,03;41,607;6,004;12,447;10,982
467,38;41,603;6,021;12,46;10,985
467,73;41,641;6,025;12,489;10,991
468,09;41,657;6,014;12,499;11,005
468,44;41,71;6,037;12,512;11,02
468,79;41,756;6,057;12,55;11,05
469,14;41,76;6,088;12,563;11,1
469,49;41,746;6,112;12,593;11,123
469,84;41,751;6,107;12,597;11,149
470,19;41,754;6,138;12,624;11,162
470,54;41,745;6,148;12,64;11,157
470,89;41,709;6,153;12,658;11,159
471,24;41,653;6,169;12,674;11,161
471,6;41,582;6,176;12,722;11,174
471,95;41,48;6,175;12,728;11,165
472,3;41,384;6,187;12,74;11,153
472,65;41,29;6,2;12,75;11,162
473;41,175;6,199;12,768;11,16
473,35;41,078;6,221;12,796;11,138
473,7;40,984;6,21;12,81;11,143
474,05;40,869;6,216;12,82;11,142
474,4;40,76;6,212;12,84;11,142
474,75;40,683;6,201;12,864;11,136
475,1;40,563;6,205;12,874;11,148
475,45;40,47;6,23;12,888;11,151
475,8;40,384;6,233;12,913;11,151
476,15;40,271;6,228;12,925;11,144
476,5;40,167;6,232;12,937;11,102
476,85;40,022;6,216;12,948;11,078
477,2;39,87;6,233;12,989;11,041
477,55;39,666;6,23;13,01;11,019
477,9;39,46;6,242;13,039;10,994
478,25;39,2;6,243;13,068;10,921
478,6;38,914;6,249;13,117;10,804
478,95;38,575;6,269;13,176;10,692
479,3;38,211;6,296;13,231;10,642
479,65;37,817;6,317;13,27;10,634
480;37,459;6,339;13,289;10,673
480,35;37,204;6,351;13,293;10,724
480,7;37,077;6,35;13,292;10,771
481,05;37,035;6,363;13,295;10,811
481,4;37,02;6,358;13,295;10,829
481,75;36,984;6,356;13,298;10,825
482,1;36,917;6,361;13,307;10,81
482,45;36,826;6,358;13,331;10,778
482,8;36,715;6,361;13,356;10,751
483,15;36,597;6,371;13,38;10,735
483,5;36,481;6,38;13,398;10,732
483,85;36,385;6,386;13,411;10,747
484,2;36,329;6,394;13,426;10,767
484,55;36,291;6,395;13,422;10,791
484,9;36,295;6,397;13,422;10,809
485,25;36,311;6,393;13,419;10,832
485,6;36,357;6,401;13,424;10,872
485,95;36,395;6,413;13,429;10,922
486,3;36,462;6,421;13,43;10,965
